No.;Karyotype;Vial_rep._nr.;Name_of_tube;Total_eggs;Adults;Pupae
1;2Lt;1;2Lt_1;30;1;0
2;2Lt;2;2Lt_2;30;3;0
3;2Lt;3;2Lt_3;30;3;0
4;2Lt;4;2Lt_4;30;1;0
5;2Lt;5;2Lt_5;30;3;0
6;2Lt;6;2Lt_6;30;1;0
7;2Lt;7;2Lt_7;30;2;0
8;2Lt;8;2Lt_8;30;2;0
9;2Lt;9;2Lt_9;30;1;0
10;2Lt;10;2Lt_10;30;1;0
11;2Lt;11;2Lt_11;30;1;1
12;2Lt;12;2Lt_12;30;2;0
13;2Lt;13;2Lt_13;30;3;0
14;2Lt;14;2Lt_14;30;2;1
15;2Lt;15;2Lt_15;30;1;0
16;2Lt;16;2Lt_16;30;2;0
17;2Lt;17;2Lt_17;30;0;0
18;2Lt;18;2Lt_18;30;1;0
19;2Lt;19;2Lt_19;30;1;0
20;2Lt;20;2Lt_20;30;3;0
21;2Lt;21;2Lt_21;30;0;0
22;2Lt;22;2Lt_22;30;1;0
28;2Lt_HET_1;1;2Lt_HET_1_1;30;4;0
29;2Lt_HET_1;2;2Lt_HET_1_2;30;1;0
30;2Lt_HET_1;3;2Lt_HET_1_3;30;3;0
31;2Lt_HET_1;4;2Lt_HET_1_4;30;4;0
32;2Lt_HET_1;5;2Lt_HET_1_5;30;8;0
33;2Lt_HET_1;6;2Lt_HET_1_6;30;5;0
34;2Lt_HET_1;7;2Lt_HET_1_7;30;3;0
35;2Lt_HET_1;8;2Lt_HET_1_8;30;4;0
36;2Lt_HET_1;9;2Lt_HET_1_9;30;1;0
37;2Lt_HET_1;10;2Lt_HET_1_10;30;4;0
38;2Lt_HET_1;11;2Lt_HET_1_11;30;7;0
39;2Lt_HET_1;12;2Lt_HET_1_12;30;4;0
40;2Lt_HET_1;13;2Lt_HET_1_13;30;1;0
41;2Lt_HET_1;14;2Lt_HET_1_14;30;3;0
42;2Lt_HET_1;15;2Lt_HET_1_15;30;6;0
43;2Lt_HET_1;16;2Lt_HET_1_16;30;1;0
44;2Lt_HET_1;17;2Lt_HET_1_17;30;3;0
45;2Lt_HET_1;18;2Lt_HET_1_18;30;2;0
46;2Lt_HET_1;19;2Lt_HET_1_19;30;2;1
47;2Lt_HET_1;20;2Lt_HET_1_20;30;1;0
48;2Lt_HET_1;21;2Lt_HET_1_21;30;6;0
49;2Lt_HET_1;22;2Lt_HET_1_22;30;3;0
55;2Lt_HET_2;1;2Lt_HET_2_1;30;1;1
56;2Lt_HET_2;2;2Lt_HET_2_2;30;2;0
57;2Lt_HET_2;3;2Lt_HET_2_3;30;2;0
58;2Lt_HET_2;4;2Lt_HET_2_4;30;1;0
59;2Lt_HET_2;5;2Lt_HET_2_5;30;1;0
60;2Lt_HET_2;6;2Lt_HET_2_6;30;2;0
61;2Lt_HET_2;7;2Lt_HET_2_7;30;0;0
62;2Lt_HET_2;8;2Lt_HET_2_8;30;5;0
63;2Lt_HET_2;9;2Lt_HET_2_9;30;4;0
64;2Lt_HET_2;10;2Lt_HET_2_10;30;1;0
65;2Lt_HET_2;11;2Lt_HET_2_11;30;1;0
66;2Lt_HET_2;12;2Lt_HET_2_12;30;3;0
68;2Lt_HET_2;14;2Lt_HET_2_14;30;2;0
69;2Lt_HET_2;15;2Lt_HET_2_15;30;2;0
70;2Lt_HET_2;16;2Lt_HET_2_16;30;0;0
71;2Lt_HET_2;17;2Lt_HET_2_17;30;0;0
72;2Lt_HET_2;18;2Lt_HET_2_18;30;4;0
73;2Lt_HET_2;19;2Lt_HET_2_19;30;3;0
74;2Lt_HET_2;20;2Lt_HET_2_20;30;0;0
75;2Lt_HET_2;21;2Lt_HET_2_21;30;3;0
76;2Lt_HET_2;22;2Lt_HET_2_22;30;3;0
82;3RK;1;3RK_1;30;0;1
83;3RK;2;3RK_2;30;0;0
84;3RK;3;3RK_3;30;6;1
85;3RK;4;3RK_4;30;2;0
86;3RK;5;3RK_5;30;5;0
87;3RK;6;3RK_6;30;6;0
88;3RK;7;3RK_7;30;5;0
89;3RK;8;3RK_8;30;5;0
90;3RK;9;3RK_9;30;7;0
91;3RK;10;3RK_10;30;1;1
92;3RK;11;3RK_11;30;4;0
93;3RK;12;3RK_12;30;7;0
94;3RK;13;3RK_13;30;3;0
95;3RK;14;3RK_14;30;5;0
96;3RK;15;3RK_15;30;5;0
97;3RK;16;3RK_16;30;7;0
98;3RK;17;3RK_17;30;1;0
99;3RK;18;3RK_18;30;7;0
100;3RK;19;3RK_19;30;6;0
101;3RK;20;3RK_20;30;1;0
102;3RK;21;3RK_21;30;3;0
103;3RK;22;3RK_22;30;2;0
109;3RK_HET_1;1;3RK_HET_1_1;30;1;0
110;3RK_HET_1;2;3RK_HET_1_2;30;1;0
111;3RK_HET_1;3;3RK_HET_1_3;30;7;0
112;3RK_HET_1;4;3RK_HET_1_4;30;5;0
113;3RK_HET_1;5;3RK_HET_1_5;30;4;0
114;3RK_HET_1;6;3RK_HET_1_6;30;3;1
115;3RK_HET_1;7;3RK_HET_1_7;30;8;0
116;3RK_HET_1;8;3RK_HET_1_8;30;2;0
117;3RK_HET_1;9;3RK_HET_1_9;30;2;0
118;3RK_HET_1;10;3RK_HET_1_10;30;2;0
119;3RK_HET_1;11;3RK_HET_1_11;30;1;0
120;3RK_HET_1;12;3RK_HET_1_12;30;0;0
121;3RK_HET_1;13;3RK_HET_1_13;30;5;0
122;3RK_HET_1;14;3RK_HET_1_14;30;6;0
123;3RK_HET_1;15;3RK_HET_1_15;30;2;0
124;3RK_HET_1;16;3RK_HET_1_16;30;4;0
125;3RK_HET_1;17;3RK_HET_1_17;30;4;0
126;3RK_HET_1;18;3RK_HET_1_18;30;4;0
127;3RK_HET_1;19;3RK_HET_1_19;30;3;0
128;3RK_HET_1;20;3RK_HET_1_20;30;2;0
129;3RK_HET_1;21;3RK_HET_1_21;30;3;0
130;3RK_HET_1;22;3RK_HET_1_22;30;4;0
136;3RK_HET_2;1;3RK_HET_2_1;30;1;0
137;3RK_HET_2;2;3RK_HET_2_2;30;6;0
138;3RK_HET_2;3;3RK_HET_2_3;30;1;0
139;3RK_HET_2;4;3RK_HET_2_4;30;3;0
140;3RK_HET_2;5;3RK_HET_2_5;30;6;1
141;3RK_HET_2;6;3RK_HET_2_6;30;2;0
142;3RK_HET_2;7;3RK_HET_2_7;30;4;0
143;3RK_HET_2;8;3RK_HET_2_8;30;2;0
144;3RK_HET_2;9;3RK_HET_2_9;30;4;0
145;3RK_HET_2;10;3RK_HET_2_10;30;4;1
146;3RK_HET_2;11;3RK_HET_2_11;30;8;0
147;3RK_HET_2;12;3RK_HET_2_12;30;5;0
148;3RK_HET_2;13;3RK_HET_2_13;30;5;0
149;3RK_HET_2;14;3RK_HET_2_14;30;2;0
150;3RK_HET_2;15;3RK_HET_2_15;30;3;0
151;3RK_HET_2;16;3RK_HET_2_16;30;4;0
152;3RK_HET_2;17;3RK_HET_2_17;30;6;0
153;3RK_HET_2;18;3RK_HET_2_18;30;3;0
154;3RK_HET_2;19;3RK_HET_2_19;30;5;0
155;3RK_HET_2;20;3RK_HET_2_20;30;4;0
156;3RK_HET_2;21;3RK_HET_2_21;30;4;0
157;3RK_HET_2;22;3RK_HET_2_22;30;3;0
163;3RP;1;3RP_1;30;2;0
164;3RP;2;3RP_2;30;3;0
165;3RP;3;3RP_3;30;6;0
166;3RP;4;3RP_4;30;4;0
167;3RP;5;3RP_5;30;7;0
168;3RP;6;3RP_6;30;2;0
169;3RP;7;3RP_7;30;8;0
170;3RP;8;3RP_8;30;7;0
171;3RP;9;3RP_9;30;7;0
172;3RP;10;3RP_10;30;5;0
173;3RP;11;3RP_11;30;6;0
174;3RP;12;3RP_12;30;6;0
175;3RP;13;3RP_13;30;11;0
176;3RP;14;3RP_14;30;6;1
177;3RP;15;3RP_15;30;9;0
178;3RP;16;3RP_16;30;2;0
179;3RP;17;3RP_17;30;3;0
180;3RP;18;3RP_18;30;8;0
181;3RP;19;3RP_19;30;8;0
182;3RP;20;3RP_20;30;6;0
183;3RP;21;3RP_21;30;3;0
184;3RP;22;3RP_22;30;8;0
190;3RP_HET_1;1;3RP_HET_1_1;30;4;0
191;3RP_HET_1;2;3RP_HET_1_2;30;1;0
192;3RP_HET_1;3;3RP_HET_1_3;30;2;0
193;3RP_HET_1;4;3RP_HET_1_4;30;4;0
194;3RP_HET_1;5;3RP_HET_1_5;30;1;0
195;3RP_HET_1;6;3RP_HET_1_6;30;1;0
196;3RP_HET_1;7;3RP_HET_1_7;30;2;0
197;3RP_HET_1;8;3RP_HET_1_8;30;2;1
198;3RP_HET_1;9;3RP_HET_1_9;30;4;0
199;3RP_HET_1;10;3RP_HET_1_10;30;0;0
200;3RP_HET_1;11;3RP_HET_1_11;30;2;0
201;3RP_HET_1;12;3RP_HET_1_12;30;5;1
202;3RP_HET_1;13;3RP_HET_1_13;30;4;1
203;3RP_HET_1;14;3RP_HET_1_14;30;5;0
204;3RP_HET_1;15;3RP_HET_1_15;30;8;1
205;3RP_HET_1;16;3RP_HET_1_16;30;4;0
206;3RP_HET_1;17;3RP_HET_1_17;30;5;0
207;3RP_HET_1;18;3RP_HET_1_18;30;7;0
208;3RP_HET_1;19;3RP_HET_1_19;30;6;0
209;3RP_HET_1;20;3RP_HET_1_20;30;5;0
210;3RP_HET_1;21;3RP_HET_1_21;30;0;0
211;3RP_HET_1;22;3RP_HET_1_22;30;5;0
217;3RP_HET_2;1;3RP_HET_2_1;30;4;0
218;3RP_HET_2;2;3RP_HET_2_2;30;9;0
219;3RP_HET_2;3;3RP_HET_2_3;30;3;0
220;3RP_HET_2;4;3RP_HET_2_4;30;1;1
221;3RP_HET_2;5;3RP_HET_2_5;30;1;0
222;3RP_HET_2;6;3RP_HET_2_6;30;1;0
223;3RP_HET_2;7;3RP_HET_2_7;30;3;0
224;3RP_HET_2;8;3RP_HET_2_8;30;7;0
225;3RP_HET_2;9;3RP_HET_2_9;30;5;0
226;3RP_HET_2;10;3RP_HET_2_10;30;6;0
227;3RP_HET_2;11;3RP_HET_2_11;30;6;0
228;3RP_HET_2;12;3RP_HET_2_12;30;6;0
244;STD;1;STD_1;30;3;0
245;STD;2;STD_2;30;1;2
246;STD;3;STD_3;30;2;0
247;STD;4;STD_4;30;1;1
248;STD;5;STD_5;30;2;0
249;STD;6;STD_6;30;0;0
250;STD;7;STD_7;30;1;0
251;STD;8;STD_8;30;2;0
252;STD;9;STD_9;30;1;0
253;STD;10;STD_10;30;1;0
254;STD;11;STD_11;30;1;0
255;STD;12;STD_12;30;4;0
256;STD;13;STD_13;30;3;0
257;STD;14;STD_14;30;4;0
258;STD;15;STD_15;30;4;1
259;STD;16;STD_16;30;4;0
260;STD;17;STD_17;30;4;0
261;STD;18;STD_18;30;6;0
262;STD;19;STD_19;30;2;1
263;STD;20;STD_20;30;10;0
264;STD;21;STD_21;30;2;0
265;STD;22;STD_22;30;6;0
266;STD;23;STD_23;30;2;0
267;STD;24;STD_24;30;0;0
268;STD;25;STD_25;30;3;0
269;STD;26;STD_26;30;3;0
270;STD;27;STD_27;30;6;1
271;STD;28;STD_28;30;8;0
272;STD;29;STD_29;30;6;0
273;STD;30;STD_30;30;3;1
274;STD;31;STD_31;30;8;1
